item_id,prompt_name,case_name,model,prompt_tokens,completion_tokens,reasoning_tokens,output_tokens,total_tokens
001-247356,instruction,CASE OF KHAGHAGHUTYAN YERKKHOSUTYUN v. ARMENIA,openai/gpt-5.4,5746,3555,2544,1011,9301
001-247356,non_curated,CASE OF KHAGHAGHUTYAN YERKKHOSUTYUN v. ARMENIA,openai/gpt-5.4,5312,3747,2437,1310,9059
001-247356,gpt_assisted,CASE OF KHAGHAGHUTYAN YERKKHOSUTYUN v. ARMENIA,openai/gpt-5.4,6166,7425,6139,1286,13591
001-247645,instruction,CASE OF PEŠIĆ v. SERBIA,openai/gpt-5.4,3688,2667,1574,1093,6355
001-247645,non_curated,CASE OF PEŠIĆ v. SERBIA,openai/gpt-5.4,3254,2657,1392,1265,5911
001-247645,gpt_assisted,CASE OF PEŠIĆ v. SERBIA,openai/gpt-5.4,4108,4342,3106,1236,8450
001-247738,instruction,CASE OF TSAAVA AND OTHERS v. GEORGIA,openai/gpt-5.4,31875,4053,2940,1113,35928
001-247738,non_curated,CASE OF TSAAVA AND OTHERS v. GEORGIA,openai/gpt-5.4,31441,2778,1552,1226,34219
001-247738,gpt_assisted,CASE OF TSAAVA AND OTHERS v. GEORGIA,openai/gpt-5.4,32295,5900,4660,1240,38195
001-247823,instruction,CASE OF MLADINA D.D. LJUBLJANA v. SLOVENIA (No. 2),openai/gpt-5.4,5917,3004,1954,1050,8921
001-247823,non_curated,CASE OF MLADINA D.D. LJUBLJANA v. SLOVENIA (No. 2),openai/gpt-5.4,5483,3654,2070,1584,9137
001-247823,gpt_assisted,CASE OF MLADINA D.D. LJUBLJANA v. SLOVENIA (No. 2),openai/gpt-5.4,6337,4985,3705,1280,11322
001-247832,instruction,"CASE OF SIC - SOCIEDADE INDEPENDENTE DE COMUNICAÇÃO, S.A v. PORTUGAL (No. 2)",openai/gpt-5.4,4872,3579,2696,883,8451
001-247832,non_curated,"CASE OF SIC - SOCIEDADE INDEPENDENTE DE COMUNICAÇÃO, S.A v. PORTUGAL (No. 2)",openai/gpt-5.4,4438,3351,1856,1495,7789
001-247832,gpt_assisted,"CASE OF SIC - SOCIEDADE INDEPENDENTE DE COMUNICAÇÃO, S.A v. PORTUGAL (No. 2)",openai/gpt-5.4,5292,5958,4960,998,11250
001-248090,instruction,CASE OF KHADIJA ISMAYILOVA v. AZERBAIJAN (No. 4),openai/gpt-5.4,6735,2780,1703,1077,9515
001-248090,non_curated,CASE OF KHADIJA ISMAYILOVA v. AZERBAIJAN (No. 4),openai/gpt-5.4,6301,4272,2894,1378,10573
001-248090,gpt_assisted,CASE OF KHADIJA ISMAYILOVA v. AZERBAIJAN (No. 4),openai/gpt-5.4,7155,3497,2328,1169,10652
